ADM_RATE,AGE_ENTRY,AVGFACSAL,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,LOCALE,MD_EARN_WNE_P10,MN_EARN_WNE_P10,PCIP14,PCIP27,PFTFAC,PCT_ASIAN,PCT_BLACK,PCT_WHITE,PCT_HISPANIC,PCTPELL,REGION,SAT_AVG,UGDS
0.6698,22.258474576,8364,Private-NP,43385,31837881,0.4597457627,0.2282608696,20500,Surbuban,53478,52100,0,0.0081,0.3527,6.15000009536743,4.42000007629394,74.5699996948242,20.3999996185302,0.2456,Far West,NA,1338
0.4582,20.600768808,12022,Private-NP,59539,477020000,0.5991213619,0.2240373396,19500,City,71771,71600,0.0468,0.0085,0.5876,12.0100002288818,7.82000017166137,62.5099983215332,24.1700000762939,0.1431,Far West,1354,6999
0.6978,20.857594936999998,9962,Private-NP,64663,21919477,0.5094936709,0.4006849315,21750,Surbuban,64817,59700,0,0,0.2449,16.329999923706,4.94999980926513,58.0099983215332,22.1700000762939,0.3366,Far West,NA,743
0.7981,22.816513761,10284,Private-NP,47187,187318992,NA,0.3315363881,21481,City,57423,49500,0,0.0058,0.3487,12.9700002670288,10.539999961853,62.3199996948242,17.6900005340576,0.4563,Far West,1395,438
0.9012,23.69490485,10354,Private-NP,56544,138585293,0.9312461633,0.4972592013,25949,City,72991,63500,0,0.0018,0.3191,11.3400001525878,10.789999961853,47.9599990844726,44.8699989318847,0.5569,Far West,NA,1898
0.5455,31.653004884,10145,Private-NP,18576,966159194,0.6353790614,0.4400887574,25000,City,66998,59000,0.0149,0.0035,0.09,9.11999988555908,7.34999990463257,63,28.6800003051757,0.1654,Far West,NA,7160
0.3824,19.459507042,11376,Private-NP,72382,439089409,0.5845070423,0.1759259259,23000,City,68355,59400,0,0.0182,0.7608,10.25,6.40000009536743,68.4300003051757,19.7600002288818,0.1811,Far West,1422,1952
0.7982,21.628742515,8226,Private-NP,66930,19785040,0.6167664671,0.2419354839,27000,City,51787,52400,0,0,0.1374,12.6700000762939,7.32000017166137,62.2900009155273,25.9699993133544,0.367,Far West,1237,1191
0.3997,22.495145631,5666,Private-NP,44331,7511781,0.5436893204,0.3863134658,23000,Surbuban,43659,40700,0,0,0.1632,8.30000019073486,4.96999979019165,68.0599975585937,27.4400005340576,0.4855,Far West,1090,619
0.1304,34.693415638,6109,Private-NP,NA,9869139,0.9341563786,0.5784883721,29105,City,54409,43100,0,0,0.1121,9.06999969482422,8.67000007629394,56.2299995422363,38.2200012207031,0.5907,Far West,NA,479
